pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/supergoop-unseen-sunscreen-broad-spectrum-sunscreen-spf-40-pa-plus-plus-plus/v/50ml,SUPERGOOP!,Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,58.0,4.3,3488.0,SEPHORA EXCLUSIVE,SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++
https://www.sephora.sg/products/shiseido-global-suncare-the-perfect-protector-spf-50-plus-slash-pa-plus-plus-plus-plus,SHISEIDO,Global Suncare The Perfect Protector SPF 50+/PA++++,65.0,4.5,65.0,0,SHISEIDO-Global Suncare The Perfect Protector SPF 50+/PA++++
https://www.sephora.sg/products/supergoop-mineral-mattescreen-spf-40-pa-plus-plus-plus,SUPERGOOP!,Mineral Mattescreen SPF 40 PA+++,63.0,4.2,155.0,SEPHORA EXCLUSIVE,SUPERGOOP!-Mineral Mattescreen SPF 40 PA+++
https://www.sephora.sg/products/supergoop-play-everyday-lotion-with-sunflower-extract-broad-spectrum-sunscreen-spf-50-pa-plus-plus-plus-plus/v/532ml,SUPERGOOP!,PLAY Everyday Lotion With Sunflower Extract Broad Spectrum Sunscreen SPF 50 PA++++,94.0,4.2,1312.0,SEPHORA EXCLUSIVE,SUPERGOOP!-PLAY Everyday Lotion With Sunflower Extract Broad Spectrum Sunscreen SPF 50 PA++++
https://www.sephora.sg/products/supergoop-re-setting-100-percent-mineral-powder-broad-spectrum-sunscreen-spf-35-pa-plus-plus-plus/v/translucent,SUPERGOOP!,(Re)setting 100% Mineral Powder Broad Spectrum Sunscreen SPF 35 PA+++,49.0,4.2,442.0,SEPHORA EXCLUSIVE,SUPERGOOP!-(Re)setting 100% Mineral Powder Broad Spectrum Sunscreen SPF 35 PA+++
https://www.sephora.sg/products/fenty-skin-hydra-vizor-invisible-broad-spectrum-spf-30-sunscreen-moisturizer/v/50ml,FENTY SKIN,Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer,61.0,4.4,111.0,SEPHORA EXCLUSIVE,FENTY SKIN-Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer
https://www.sephora.sg/products/supergoop-glowscreen-broad-spectrum-sunscreen-primer-spf-40-pa-plus-plus-plus/v/50ml,SUPERGOOP!,Glowscreen Broad Spectrum Sunscreen Primer SPF 40 PA+++,58.0,4.0,1657.0,SEPHORA EXCLUSIVE,SUPERGOOP!-Glowscreen Broad Spectrum Sunscreen Primer SPF 40 PA+++
https://www.sephora.sg/products/supergoop-glow-stick-sunscreen-spf-50-pa-plus-plus-plus-plus,SUPERGOOP!,Glow Stick Sunscreen SPF 50 PA++++,40.0,3.8,556.0,SEPHORA EXCLUSIVE,SUPERGOOP!-Glow Stick Sunscreen SPF 50 PA++++
https://www.sephora.sg/products/supergoop-every-single-face-spr-shield-watery-lotion-spf-50,SUPERGOOP!,Every Single Face SPR-Shield watery lotion SPF 50,50.0,4.7,34.0,SEPHORA EXCLUSIVE,SUPERGOOP!-Every Single Face SPR-Shield watery lotion SPF 50
https://www.sephora.sg/products/lancome-uv-expert-xl-shield-fresh-uv-aqua-gel,LANCÔME,UV Expert Youth-Shield™ Aqua Gel SPF50 PA++++,83.0,4.3,6.0,0,LANCÔME-UV Expert Youth-Shield™ Aqua Gel SPF50 PA++++
https://www.sephora.sg/products/glow-recipe-watermelon-glow-niacinamide-sunscreen-spf-50,GLOW RECIPE,Watermelon Glow Niacinamide Sunscreen SPF 50,54.0,3.9,1119.0,SEPHORA EXCLUSIVE,GLOW RECIPE-Watermelon Glow Niacinamide Sunscreen SPF 50
