pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/kora-organics-by-miranda-kerr-milky-mushroom-gentle-cleansing-oil,KORA ORGANICS BY MIRANDA KERR,Milky Mushroom Gentle Cleansing Oil,62.0,4.5,479.0,0,KORA ORGANICS BY MIRANDA KERR-Milky Mushroom Gentle Cleansing Oil
https://www.sephora.sg/products/alpha-h-triple-action-cleanser/v/185ml,ALPHA-H,Triple Action Cleanser,61.0,4.4,33.0,SEPHORA EXCLUSIVE,ALPHA-H-Triple Action Cleanser
https://www.sephora.sg/products/farmacy-clean-bee-ultra-gentle-facial-cleanser,FARMACY,Clean Bee Ultra-Gentle Facial Cleanser,45.0,4.0,889.0,SEPHORA EXCLUSIVE,FARMACY-Clean Bee Ultra-Gentle Facial Cleanser
https://www.sephora.sg/products/boscia-makeup-breakup-cool-cleansing-oil,BOSCIA,MakeUp-BreakUp Cool Cleansing Oil,59.0,4.5,2859.0,SEPHORA EXCLUSIVE,BOSCIA-MakeUp-BreakUp Cool Cleansing Oil
https://www.sephora.sg/products/burts-bees-sensitive-facial-cleanser,BURT'S BEES,Sensitive Facial Cleanser,35.0,,,SEPHORA EXCLUSIVE,BURT'S BEES-Sensitive Facial Cleanser
https://www.sephora.sg/products/tarte-sea-deep-dive-makeup-removing-gel-cleanser/v/default,TARTE,Sea Deep Dive Makeup Removing Gel Cleanser,44.0,4.3,1373.0,SEPHORA EXCLUSIVE,TARTE-Sea Deep Dive Makeup Removing Gel Cleanser
https://www.sephora.sg/products/dermalogica-precleanse,DERMALOGICA,Precleanse,83.0,4.6,1162.0,0,DERMALOGICA-Precleanse
https://www.sephora.sg/products/laneige-water-bank-blue-hyaluronic-cleansing-oil,LANEIGE,Water Bank Blue Hyaluronic Cleansing Oil,53.0,,,SEPHORA EXCLUSIVE,LANEIGE-Water Bank Blue Hyaluronic Cleansing Oil
https://www.sephora.sg/products/dior-cleansing-milk,DIOR,Cleansing Milk,69.0,5.0,1.0,0,DIOR-Cleansing Milk
https://www.sephora.sg/products/fresh-cleanse-and-moisturize-duo,FRESH,Cleanse & Moisturize Duo,41.0,5.0,20.0,0,FRESH-Cleanse & Moisturize Duo
https://www.sephora.sg/products/skyn-iceland-micellar-cleansing-water,SKYN ICELAND,Micellar Cleansing Water,40.0,5.0,5.0,SEPHORA EXCLUSIVE,SKYN ICELAND-Micellar Cleansing Water
https://www.sephora.sg/products/by-terry-cellularose-cleansing-oil,BY TERRY,Cellularose Cleansing Oil,90.0,,,SEPHORA EXCLUSIVE,BY TERRY-Cellularose Cleansing Oil
https://www.sephora.sg/products/drunk-elephant-e-rase-milki-micellar-water,DRUNK ELEPHANT,E-Rase™ Milki Micellar Water,40.0,4.3,922.0,SEPHORA EXCLUSIVE,DRUNK ELEPHANT-E-Rase™ Milki Micellar Water
