,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
32,4.4,SHISEIDO-Energizing Moisturizer Extra Light Fluid,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
33,4.1,DRUNK ELEPHANT-A-Passioni™ Retinol Skincare Cream,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
34,4.5,IT COSMETICS-Confidence in a Cream™ Transforming Moisturizing Super Cream,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
35,4.5,FIRST AID BEAUTY-Ultra Repair Firming Collagen Cream,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
36,4.0,DRUNK ELEPHANT-Protini™ Polypeptide Cream,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
37,4.5,KORA ORGANICS BY MIRANDA KERR-Turmeric Glow Moisturizer,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
38,4.4,SUNDAY RILEY-C.E.O. Vitamin C Rich Hydration Cream,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
39,4.2,DRUNK ELEPHANT-Lala Retro™ Whipped Cream,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
40,4.6,SEPHORA COLLECTION-Matte Moisturizer,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
41,4.6,SEPHORA COLLECTION-All Day Hydrator,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
42,4.4,KENZOKI-Hydration Flow Moisturizing Skin Guardian - Normal To Dry Skin,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
43,4.6,IT COSMETICS-Confidence In A Gel Lotion,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1
44,4.6,SHISEIDO-Essential Energy Hydrating Cream,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
45,3.9,CLINIQUE-Anti-Blemish All Over Clearing Treatment,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
46,4.1,DR.JART+-Vital Hydra Solution Biome Water Cream,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
47,4.4,TARTE-Maracuja Oil,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
48,4.5,FARMACY-Honey Halo Ultra-Hydrating Ceramide Moisturizer,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
49,4.5,SEPHORA COLLECTION-Ultra Glow Mask With Vitamins C & E,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
50,4.6,ORIGINS-Plantscription Retinol Night Moisturizer with Alpine Flower,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
51,4.3,ORIGINS-High-Potency Night-A-Mins™ Oil-Free Resurfacing Cream with Fruit-Derived AHAs,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
52,4.4,SHISEIDO-Vital-perfection Sculpting Lift Cream,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
53,4.4,GIVENCHY-Skin Ressource Protective Moisturising Rich Cream Refill,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
54,4.6,GLAMGLOW-Superwatergel Triple-Acid Oil-Free Moisturizer,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1
55,4.4,DIOR-Capture Totale DreamSkin Care & Perfect Emulsion,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0
56,4.4,LA MER-The Moisturizing Soft Cream Moisturizer,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
57,4.4,OLE HENRIKSEN-Dewtopia 5% Acid Firming Night Crème,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
58,4.4,INDIE LEE-Brightening Cream,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
59,4.4,SHISEIDO-Essential Energy Hydrating Cream Refill,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
