pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id,pdt_images,skin_type,skin_concerns,formulation,age,category
https://www.sephora.sg/products/ole-henriksen-strength-trainer-peptide-boost-moisturizer/v/50ml,OLE HENRIKSEN,Strength Trainer Peptide Boost Moisturizer,80,4.5,698.0,1,OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026652919-Ole-Henriksen-Strength-Trainer-Peptide-Boost-Moisturizer-50ml_a45fd891a712fea8fd0d2a101e17a3240a7d02f9_1637239102.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,FineLines&Wrinkles,Firmness&Elasticity",Cream,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/fresh-rose-deep-hydration-face-cream-moisturizer/v/50ml,FRESH,Rose Deep Hydration Face Cream Moisturizer,76,4.6,2106.0,0,FRESH-Rose Deep Hydration Face Cream Moisturizer,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product-Clean_809280153457-Fresh-Rose-Deep-Hydration-Face-Cream-Moisturizer-50ml_385cedb0257672b46e56ee50ac0d410fa868d0ec_1620412434.png,"Combination,Dry,Normal,Oily","Dryness,Dullness",Cream,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/ole-henriksen-cold-plunge-pore-remedy-moisturizer,OLE HENRIKSEN,Cold Plunge™ Pore Remedy Moisturizer,82,4.4,1052.0,1,OLE HENRIKSEN-Cold Plunge™ Pore Remedy Moisturizer,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026641593-Ole_Henriksen-Cold_Plunge_Pore_Remedy_Moisturizer-50ml_3ed49c526da276bcc4e66ade3ddd5163d0397066_1619407268.png,"Combination,Dry,Normal,Oily","Dryness,FineLines&Wrinkles,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,VisiblePores",Cream,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/first-aid-beauty-ultra-repair-cream/v/226g,FIRST AID BEAUTY,Ultra Repair Cream,69,4.5,10406.0,0,FIRST AID BEAUTY-Ultra Repair Cream,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_852575005856-First-Aid-Beauty-Ultra-Repair-Cream-226g_678790556aff7c806dcf67caca3eea21aa178009_1618234986.png,"Combination,Dry,Normal,Sensitive",Dryness,Cream,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/glow-recipe-plum-plump-hyaluronic-cream/v/50ml,GLOW RECIPE,Plum Plump Hyaluronic Cream,62,4.5,1096.0,1,GLOW RECIPE-Plum Plump Hyaluronic Cream,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_810052961156-Glow-Recipe-Plum-Plump-Hyaluronic-Cream-50ml_cf7926be4e3edc9887b187f2475724d766ed9ad1_1659282619.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,Dullness,UnevenSkinTexture","Cream,Gel","20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58,4.8,4.0,0,FRESH-Best Of Beauty Bundle (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280159855-FRESH-Best-Of-Beauty-Bundle-Christmas-Limited-Edition-Default_eadd7b8b0304ec48f80f18c291ee4e5dc869d9b9_1663068118.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,VisiblePores","Cream,Liquid","20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/estee-lauder-revitalizing-supreme-plus-youth-power-soft-creme-moisturizer/v/75ml,ESTÉE LAUDER,Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,197,5.0,3.0,0,ESTÉE LAUDER-Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_887167539556-Estee-Lauder-Revitalizing-Supreme-Youth-Power-Soft-Creme-Moisturize_5060338f7289874ab2e2b6926c8665a7acc986c3_1642740846.png,"Combination,Dry,Normal,Oily","Ageing,Dryness,FineLines&Wrinkles,Firmness&Elasticity,UnevenSkinTexture,UnevenSkinTone",Cream,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/clinique-dramatically-different-moisturizing-gel,CLINIQUE,Dramatically Different Moisturizing Gel,62,4.5,291.0,0,CLINIQUE-Dramatically Different Moisturizing Gel,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_Dramatically_Different_Moisturizing_Gel_125ml_8c645ebe975fcec03762dffe915099a95264b6ae_1536214796.png,"Combination,Oily,Sensitive","Dryness,Oiliness",Gel,"20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/fresh-best-selling-duo-christmas-limited-edition,FRESH,Best Selling Duo (Christmas Limited Edition),38,4.4,0.0,0,FRESH-Best Selling Duo (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280158988-FRESH-Best_20Selling_20Duo_20Christmas_20Limited_20Edition-Default_1fcd34de177fb8b00f8ef1b0f0cc358f16d1945b_1663068108.png,"Combination,Dry,Normal,Oily",Dryness,"Cream,Gel","20s,30s,40s,50+,Under20",night_cream
https://www.sephora.sg/products/clinique-moisture-surge-100h-auto-replenishing-hydrator-moisturiser/v/50ml,CLINIQUE,Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,78,4.3,1910.0,0,CLINIQUE-Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_192333066935-Clinique-Moisture-Surge-100H-Auto-Replenishing-Hydrator-50ml_63239cf382461cd9c0a5f98f72a73787584e6483_1611221696.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Firmness&Elasticity,UnevenSkinTexture","Cream,Gel","20s,30s,40s,50+,Under20",night_cream
