,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,LoosePowder,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
28,5.0,DIOR-Prestige Light-In-White The UV Protector Youth And Light Sheer Glow SPF 50+ PA+++,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
29,4.4,CLINIQUE-Even Better City Block Brightening Aqua Gel + Anti-Pollution Primer SPF 45/PA+++,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
30,4.3,SHISEIDO-Global Suncare Perfect UV Protector Hydrofresh,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
31,3.0,CHARLOTTE TILBURY-Invisible UV Flawless Poreless Primer SPF 50 PA++++,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1
32,3.7,SKIN INC-Serum UV Moisturizer SPF 50+ PA+++,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
33,5.0,THREE-Balancing UV Protector R,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
34,3.0,SHISEIDO-Future Solution LX Universal Defense,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
35,4.25,CLE DE PEAU-UV Protective Cream Tinted SPF 50+,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
36,4.25,CLE DE PEAU-Intensive Fortifying Cream Refill,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
37,4.0,SK-II-Atmosphere Airy Light UV Emulsion SPF30 PA+++ Sunscreen,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
