,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
31,4.5,BIOSSANCE-Squalane + BHA Pore Minimizing Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
32,4.5,FRESH-Rose Deep Hydration Essentials (Christmas Limited Edition),1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1
33,4.9,GLOW RECIPE-Pride Watermelon Glow PHA + BHA Pore-Tight Toner (Limited Edition),1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
34,4.4,PIXI-Glow Tonic To-Go Exfoliating Toner Pads,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
35,4.4,LANCÔME-Tonique Douceur,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
36,5.0,LAB SERIES-Daily Rescue Water Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
37,4.7,CLINIQUE-Clarifying Lotion 2 - Dry Combination Skin,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
38,4.0,DIOR-Capture Totale Intensive Essence Lotion Face Lotion,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1
39,3.8,THE INKEY LIST-PHA Gentle Exfoliating Toner,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0
40,4.0,MARIO BADESCU-Cucumber Cleansing Lotion,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
41,4.3,LAB SERIES-Oil Control Clearing Water Lotion,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
42,4.3,LANEIGE-Perfect Renew Youth Skin Refiner,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
43,4.4,DIOR-Capture Totale DreamSkin Care & Perfect Emulsion,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0
44,4.3,LANCÔME-Tonique Confort,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
