pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id,pdt_images,skin_type,skin_concerns,formulation,age,category
https://www.sephora.sg/products/fresh-soy-face-cleanser/v/150ml,FRESH,Soy Face Cleanser,63,4.4,10760.0,0,FRESH-Soy Face Cleanser,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280000027-FRESH-Soy-Face-Cleanser-150ml_f3c1245e9cf2165d1e20b00e2f6067873f7071f7_1649763344.png,"Combination,Dry,Normal,Oily","Ageing,Dryness,VisiblePores",Gel,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/the-ordinary-squalane-cleanser/v/50ml,THE ORDINARY,Squalane Cleanser,16,4.0,916.0,0,THE ORDINARY-Squalane Cleanser,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_769915194791-The-Ordinary-Squalane-Cleanser-50ml_2070aa4f04980eaf8a524bb50f8f3fea6cac22be_1639763412.png,"Combination,Dry,Normal,Oily",Dryness,Liquid,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/sephora-collection-cleansing-face-wipe/v/aloe-vera-3378872138839,SEPHORA COLLECTION,Cleansing Face Wipe,13,4.1,82.0,1,SEPHORA COLLECTION-Cleansing Face Wipe,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3378872138839-Sephora_20Collection-Cleansing_20Face_20Wipe-Aloe_20Vera_e069b05b63b0ac497a2ebba5c6c5a256bed11bfb_1661273939.png,"Combination,Dry,Normal,Oily,Sensitive",Dullness,Wipe,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/farmacy-green-clean-makeup-meltaway-cleansing-balm/v/200ml,FARMACY,Green Clean Makeup Meltaway Cleansing Balm,96,4.7,673.0,1,FARMACY-Green Clean Makeup Meltaway Cleansing Balm,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_818832020130-Farmacy-Green-Clean-Makeup-Meltaway-Cleansing-Balm-200ml_dbbe0d1080c082487d76ade3a69fbd25935361d1_1661274119.png,"Combination,Dry,Normal,Oily",Dryness,Balm,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/sephora-collection-triple-action-cleansing-micellar-water/v/400ml,SEPHORA COLLECTION,Triple Action Cleansing Micellar Water,29,4.4,336.0,1,SEPHORA COLLECTION-Triple Action Cleansing Micellar Water,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3378872134947-Sephora-Collection-Triple-Action-Cleansing-Micellar-Water-400ml_fdd6545b25b6e4791b9566f3369b1e42224376a1_1659282168.png,"Combination,Dry,Normal,Oily,Sensitive",Dryness,Liquid,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/glow-recipe-blueberry-bounce-gentle-cleanser/v/30ml,GLOW RECIPE,Blueberry Bounce Gentle Cleanser,16,3.9,1394.0,1,GLOW RECIPE-Blueberry Bounce Gentle Cleanser,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_850001316118-Glow-Recipe-Blueberry-Bounce-Gentle-Cleanser-30ml_47078876d91963d9ab058c175c9c87bcaa5c5e97_1661330076.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/tatcha-dewy-cleanse-and-hydrate-duo-christmas-limited-edition,TATCHA,Dewy Cleanse And Hydrate Duo (Christmas Limited Edition),45,4.4,0.0,1,TATCHA-Dewy Cleanse And Hydrate Duo (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_793888732643-TATCHA-Dewy-Cleanse-And-Hydrate-Duo-Christmas-Limited-Edition-Defau_b4887394e6961992151dc3d0555e2802cf1ae291_1663068235.png,"Combination,Dry,Normal,Oily",Dryness,"Cream,Liquid","20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/fresh-skincare-prep-essentials-christams-limited-edition,FRESH,Skincare Prep Essentials (Christmas Limited Edition),38,5.0,2.0,0,FRESH-Skincare Prep Essentials (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280159251-FRESH-Skincare-Prep-Essentials-Christams-Limited-Edition-Default_b3fb1d69167357dd241642dc24909e3053d95cdf_1663068114.png,"Combination,Dry,Normal,Oily","Dryness,VisiblePores","Gel,Liquid","20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/the-inkey-list-oat-cleansing-balm/v/150ml-5060879822221,THE INKEY LIST,Oat Cleansing Balm,20,3.8,2214.0,1,THE INKEY LIST-Oat Cleansing Balm,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_5060879822221-The-Inkey-List-Oat-Cleansing-Balm-150ml_37c1c6f7ed99f74a1f8efe61b83050ab1465aafc_1657001199.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,UnevenSkinTexture",Balm,"20s,30s,40s,50+,Under20",cleaser
https://www.sephora.sg/products/sk-ii-facial-treatment-gentle-cleanser,SK-II,Facial Treatment Gentle Cleanser,99,4.6,250.0,0,SK-II-Facial Treatment Gentle Cleanser,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_Facial-Treatment-Gentle-Cleanser-120g-UC.Pri_WEB_ff49b460b3696a6df8a4a79c78e476c727fcefe9_1523776412.png,"Combination,Dry,Normal,Oily","Blackheads,Dryness,Dullness,UnevenSkinTexture",Cream,"20s,30s,40s,50+,Under20",cleaser
