pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id,pdt_images,skin_type,skin_concerns,formulation,age,category
https://www.sephora.sg/products/the-inkey-list-glycolic-acid-toner,THE INKEY LIST,Glycolic Acid Toner,18,4.4,502.0,1,THE INKEY LIST-Glycolic Acid Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_5060422297827-The-Inkey-List-Glycolic-Acid-Toner-100ml_653a9d6c55cd0ecd8a87152305cec2e9b2f0e254_1618687960.png,"Combination,Dry,Normal,Oily,Sensitive","Blemishes,UnevenSkinTone,VisiblePores",Cream,"20s,30s,40s,50+",toner
https://www.sephora.sg/products/caudalie-vinopure-clear-skin-purifying-toner/v/400ml,CAUDALIE,Vinopure Clear Skin Purifying Toner,57,4.2,676.0,1,CAUDALIE-Vinopure Clear Skin Purifying Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3522930003434-Caudalie-Vinopure-Purifying-Toner_7fe3b36222b3370dcd5dbbef20fe44f47de6b69c_1659282356.png,"Combination,Dry,Normal,Oily","Blackheads,Firmness&Elasticity,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/origins-mega-mushroom-magic-ultimate-skin-relief-collection-christmas-limited-edition,ORIGINS,Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),65,5.0,1.0,0,ORIGINS-Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_717334263925-Origins-Mega-Mushroom-Magic-Ultimate-Skin-Relief-Collection-Christm_879aba17b61b9241ce863abb80c701a37df93ed2_1664874365.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,UnevenSkinTexture","Liquid,Lotion","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/glow-recipe-watermelon-glow-pha-plus-bha-pore-tight-toner/v/150ml,GLOW RECIPE,Watermelon Glow PHA + BHA Pore-Tight Toner,54,4.4,3432.0,1,GLOW RECIPE-Watermelon Glow PHA + BHA Pore-Tight Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_850001316613-Glow-Recipe-Watermelon-Glow-PHABHA-Pore-Tight-Toner-150ml_6aad1f6b48176e6e94bb6b1f86254390f561f53d_1659282674.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,UnevenSkinTexture,VisiblePores","Gel,Liquid","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fenty-skin-fat-water-pore-refining-toner-serum-christmas-limited-edition,FENTY SKIN,Fat Water Pore-Refining Toner Serum (Christmas Limited Edition),66,5.0,2.0,1,FENTY SKIN-Fat Water Pore-Refining Toner Serum (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026658799-Fenty-Skin-Fat-Water-Pore-Refining-Toner-Serum-Christmas-Limited-Ed_93837a50d27c990053aea92ae837dac818ec4966_1664356473.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fenty-skin-fat-water-hydrating-milky-toner-essence,FENTY SKIN,Fat Water Hydrating Milky Toner Essence,48,4.7,280.0,1,FENTY SKIN-Fat Water Hydrating Milky Toner Essence,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026654821-Fenty-Beauty-Fat-Water-Hydrating-Milky-Toner-Essence-150ml_5927b66737098815f7e353030dd719999819f5de_1658760078.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/first-aid-beauty-facial-radiance-pads/v/60,FIRST AID BEAUTY,Facial Radiance Pads,53,4.3,2735.0,0,FIRST AID BEAUTY-Facial Radiance Pads,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_6_Product_851939002210-First-Aid-Beauty-New-Facial-Radiance-Pads_a26c5bf95198d9fa2f00f6efdfdafb8f56f9b25c_1629027207.png,"Combination,Dry,Normal,Oily,Sensitive","Dullness,UnevenSkinTone",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/innisfree-jeju-volcanic-pore-toner-2x,INNISFREE,Jeju Volcanic Pore Toner 2X,27,5.0,3.0,0,INNISFREE-Jeju Volcanic Pore Toner 2X,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_8809707252857-Innisfree-Jeju-Volcanic-Pore-Toner-2X-200ml_649d0e7918d05569c680824bfea101423b4df354_1632505050.png,"Combination,Dry,Normal,Oily,Sensitive","Blemishes,Oiliness,UnevenSkinTexture",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/la-mer-the-treatment-lotion/v/150ml,LA MER,The Treatment Lotion,255,4.7,429.0,0,LA MER-The Treatment Lotion,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_747930121695-La-Mer-The-Treatment-Lotion-150ml_185507a4b9ab18be882db36badacb06516d0ead9_1649220156.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,UnevenSkinTexture","Liquid,Lotion","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/dr-jart-ctrl-a-teatreement-toner,DR.JART+,Ctrl-A Teatreement™ Toner,29,4.8,5.0,1,DR.JART+-Ctrl-A Teatreement™ Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_8809642712867-Dr-Jart-Ctrl-A-Teatreement-Toner-120ml_e408aa5fc4bea297e2efa3ae4f590a31b39f671c_1611050914.png,"Combination,Oily","Blemishes,Dryness,Dullness,Oiliness,UnevenSkinTexture",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/ole-henriksen-barrier-booster-orange-ferment-essence,OLE HENRIKSEN,Barrier Booster Orange Ferment Essence,73,4.8,605.0,1,OLE HENRIKSEN-Barrier Booster Orange Ferment Essence,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026652896-Ole-Henriksen-Barrier-Booster-Orange-Ferment-Essence-120ml_daf3226e9e269bb1511b6a6f87a3830ab5f6ceff_1647862593.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/origins-dr-andrew-weil-for-origins-mega-mushroom-relief-and-resilience-soothing-treatment-lotion/v/200ml,ORIGINS,Dr. Andrew Weil for Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,65,4.4,569.0,0,ORIGINS-Dr. Andrew Weil for Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_717334257801-Origins-Mega-Mushroom-Relief-Resilience-Soothing-Treatment-Lotion-2_87b72ff9e71e4417cd455e328facfabd72084f41_1657596820.png,"Combination,Dry,Normal,Oily","Dullness,Blemishes,UnevenSkinTone",Lotion,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/caudalie-vinoperfect-concentrated-brightening-glycolic-essence,CAUDALIE,Vinoperfect Concentrated Brightening Glycolic Essence,57,4.3,11.0,1,CAUDALIE-Vinoperfect Concentrated Brightening Glycolic Essence,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3522930003267-Caudalie-Vinoperfect_Concentrated_Brightening_Glycolic_Essence-150_98ca64a5658293e4a5c2c7cd723935d7ef69eefa_1661274009.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,UnevenSkinTone",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/pixi-retinol-tonic/v/250ml,PIXI,Retinol Tonic,48,4.0,145.0,0,PIXI-Retinol Tonic,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_208719_20Pixi_20Retinol_20Tonic_20250ml_f8287aac670f1be41ef68677402bba52d81051a2_1550807958.png,"Combination,Dry,Normal,Oily","Ageing,Dullness,UnevenSkinTexture,UnevenSkinTone",Liquid,"20s,30s,40s,50+",toner
https://www.sephora.sg/products/ole-henriksen-glow2oh-dark-spot-toner-christmas-limited-edition,OLE HENRIKSEN,Glow2OH™ Dark Spot Toner (Christmas Limited Edition),62,4.2,5.0,1,OLE HENRIKSEN-Glow2OH™ Dark Spot Toner (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026661768-Ole-Henriksen-Glow2OH--Dark-Spot-Toner-Christmas-Limited-Edition-29_1f09fa731703536632c7b10d9e7a0ad3fa3a4430_1665557261.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,Dullness,FineLines&Wrinkles,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/indie-lee-coq-10-toner/v/default,INDIE LEE,CoQ-10 Toner,36,4.3,494.0,1,INDIE LEE-CoQ-10 Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_702685964492-Indie-Lee-CoQ-10-Toner-125ml_2f17dc37ed6fa81f6e884fca9a0c98c9f2b036c8_1618373906.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,Dullness,UnevenSkinTexture",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/laneige-cream-skin-refiner,LANEIGE,Cream Skin Refiner,38,4.5,15.0,0,LANEIGE-Cream Skin Refiner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_8809643071277-Laneige-Cream-Skin-Refiner-150ml_229d5319821537cf10f89a316a795530fd7a0095_1624386122.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,Dullness,Firmness&Elasticity",Cream,"20s,30s,40s,50+,Under20",toner
