pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive
https://www.sephora.sg/products/shu-uemura-ultime8-sublime-beauty-cleansing-oil-38388/v/450ml,SHU UEMURA,Ultime8∞ Sublime Beauty Cleansing Oil,168.0,4.2,1450,0
https://www.sephora.sg/products/dr-dennis-gross-hyaluronic-marine-meltaway-cleanser/v/60ml,DR. DENNIS GROSS,Hyaluronic Marine Meltaway Cleanser,21.0,4.5,592,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/the-ordinary-salicylic-acid-2-percent-anhydrous-solution,THE ORDINARY,Salicylic Acid 2% Anhydrous Solution,13.0,3.9,278,0
https://www.sephora.sg/products/lancome-clarifique-pore-refining-cleansing-foam,LANCÔME,Clarifique Pore Refining Cleansing Foam,63.0,4.4,10,0
https://www.sephora.sg/products/sulwhasoo-concentrated-ginseng-renewing-serum-trial-kit,SULWHASOO,Concentrated Ginseng Renewing Serum Trial Kit,92.0,NA,NA,0
https://www.sephora.sg/products/estee-lauder-firm-plus-lift-skincare-wonders-set-christmas-limited-edition,ESTÉE LAUDER,Firm + Lift Skincare Wonders Set (Christmas Limited Edition),131.0,NA,NA,0
https://www.sephora.sg/products/farmacy-clearly-clean-makeup-meltaway-cleansing-balm/v/100ml,FARMACY,Clearly Clean Makeup Meltaway Cleansing Balm,63.0,4.7,566,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/the-inkey-list-selfless-by-hyram-centella-and-green-tea-daily-gel-cleanser,THE INKEY LIST,Selfless by Hyram Centella and Green Tea Daily Gel Cleanser,34.0,4.0,214,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/indie-lee-brightening-cleanser/v/default,INDIE LEE,Brightening Cleanser,36.0,4.4,746,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/innisfree-green-tea-hydration-duo,INNISFREE,Green Tea Hydration Duo,26.0,4.5,27,0
https://www.sephora.sg/products/estee-lauder-perfectly-clean-multi-action-foam-cleanser-slash-purifying-mask/v/150ml,ESTÉE LAUDER,Perfectly Clean Multi-Action Foam Cleanser/Purifying Mask,55.0,4.4,111,0
https://www.sephora.sg/products/shiseido-face-cleanser,SHISEIDO,Face Cleanser,40.0,5.0,1,0
https://www.sephora.sg/products/tatcha-the-camellia-cleansing-oil,TATCHA,The Camellia Cleansing Oil,83.0,4.4,121,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/innisfree-bija-trouble-facial-foam,INNISFREE,Bija Trouble Facial Foam,13.0,4.0,1,0
https://www.sephora.sg/products/caudalie-vinoclean-makeup-removing-cleansing-oil,CAUDALIE,Vinoclean Makeup Removing Cleansing Oil,38.0,4.4,450,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/bobbi-brown-soothing-cleansing-oil/v/200ml,BOBBI BROWN,Soothing Cleansing Oil,82.0,4.6,83,0
https://www.sephora.sg/products/mario-badescu-acne-facial-cleanser,MARIO BADESCU,Acne Facial Cleanser,34.0,4.1,612,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/caudalie-vinopure-anti-blemish-solution-set,CAUDALIE,Vinopure Anti-Blemish Solution Set,65.0,4.6,10,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/la-mer-the-cleansing-foam/v/30ml,LA MER,The Cleansing Foam,60.0,4.1,189,0
https://www.sephora.sg/products/mario-badescu-enzyme-cleansing-gel/v/472ml,MARIO BADESCU,Enzyme Cleansing Gel,40.0,4.1,729,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/philosophy-purity-made-simple-one-step-facial-cleanser/v/650ml,PHILOSOPHY,Purity Made Simple One-Step Facial Cleanser,72.0,4.5,12617,0
https://www.sephora.sg/products/elemis-superfood-facial-wash,ELEMIS,Superfood Facial Wash,48.0,5.0,1,0
https://www.sephora.sg/products/shu-uemura-ultime8-spring-set,SHU UEMURA,Ultime8∞ Spring Set,168.0,NA,NA,0
https://www.sephora.sg/products/caudalie-vinoclean-micellar-cleansing-water,CAUDALIE,Vinoclean Micellar Cleansing Water,37.0,4.5,8,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/it-cosmetics-confidence-in-a-cleanser,IT COSMETICS,Confidence In A Cleanser,44.0,4.5,495,0
https://www.sephora.sg/products/fenty-skin-mini-skin-must-haves-skincare-set-limited-edition,FENTY SKIN,Mini Skin Must-Haves Skincare Set (Limited Edition),108.0,4.8,4,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/sephora-collection-cleansing-and-hydrating-micellar-water/v/200ml,SEPHORA COLLECTION,Cleansing & Hydrating Micellar Water,19.0,4.6,16,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/glow-recipe-papaya-sorbet-enzyme-cleansing-balm,GLOW RECIPE,Papaya Sorbet Enzyme Cleansing Balm,51.0,4.2,1433,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/charlotte-tilbury-take-it-all-off/v/120ml,CHARLOTTE TILBURY,Take It All Off,37.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-checks-and-balances-frothy-face-wash-combi-skin,ORIGINS,Checks and Balances™ Frothy Face Wash,43.0,4.4,210,0
https://www.sephora.sg/products/sunday-riley-ceramic-slip-clay-cleanser,SUNDAY RILEY,Ceramic Slip Clay Cleanser,56.0,3.9,975,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-rose-cleansing-foam,FRESH,Rose Cleansing Foam,47.0,3.9,244,0
https://www.sephora.sg/products/clinique-all-about-clean-2-in-1-cleansing-plus-exfoliating-jelly-anti-pollution/v/150ml,CLINIQUE,All About Clean 2-in-1 Cleansing + Exfoliating Jelly Anti-Pollution,51.0,4.6,40,0
https://www.sephora.sg/products/ole-henriksen-truth-juice-daily-cleanser/v/150ml,OLE HENRIKSEN,Truth Juice™ Daily Cleanser,50.0,4.3,696,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/laneige-water-bank-blue-hyaluronic-cleansing-foam,LANEIGE,Water Bank Blue Hyaluronic Cleansing Foam,36.0,4.7,7,0
https://www.sephora.sg/products/clinique-3-step-routine-skincare-set,CLINIQUE,3-Step Routine Skincare Set,70.0,NA,NA,0
https://www.sephora.sg/products/fresh-kombucha-cleansing-treatment/v/200ml,FRESH,Kombucha Cleansing Treatment,69.0,4.4,747,0
https://www.sephora.sg/products/farmacy-whipped-greens-oil-free-foaming-cleanser,FARMACY,Whipped Greens oil-free foaming cleanser,45.0,4.6,450,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-day-and-night-hydration-christmas-limited-edition,FRESH,Day & Night Hydration (Christmas Limited Edition),107.0,5.0,1,0
https://www.sephora.sg/products/dior-la-mousse-off-slash-on-foaming-cleanser,DIOR,La Mousse Off/On Foaming Cleanser,69.0,4.4,537,0
https://www.sephora.sg/products/sulwhasoo-gentle-cleansing-oil,SULWHASOO,Gentle Cleansing Oil,55.0,3.9,9,0
https://www.sephora.sg/products/clinique-all-about-clean-liquid-facial-soap-oily-skin,CLINIQUE,All About Clean™ Liquid Facial Soap (Oily Skin),39.0,4.4,2320,0
https://www.sephora.sg/products/origins-mega-mushroom-heroes-skincare-set,ORIGINS,Mega-Mushroom Heroes Skincare Set,65.0,5.0,2,0
https://www.sephora.sg/products/clinique-all-about-clean-liquid-facial-soap-mild,CLINIQUE,All About Clean™ Liquid Facial Soap (Mild),39.0,4.4,145,0
https://www.sephora.sg/products/drunk-elephant-slaai-makeup-melting-butter-cleanser,DRUNK ELEPHANT,Slaai™ Makeup-Melting Butter Cleanser,50.0,3.8,1574,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/sephora-collection-brightening-dual-exfoliator,SEPHORA COLLECTION,Brightening Dual Exfoliator,24.0,4.3,15,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/cle-de-peau-clarifying-cleansing-foam,CLE DE PEAU,Clarifying Cleansing Foam,92.0,4.3,60,0
https://www.sephora.sg/products/clinique-clinique-for-men-face-wash-200ml,CLINIQUE,For Men Face Wash,39.0,4.2,28,0
https://www.sephora.sg/products/dr-jart-cicapair-green-recipe-skincare-kit,DR.JART+,Cicapair Green Recipe Skincare Kit,54.0,4.8,5,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/nudestix-nudeskin-4-step-citrus-renew-set-for-gentle-skin,NUDESTIX,Nudeskin 4-Step Citrus Renew Set For Gentle Skin,127.0,3.5,4,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/boscia-detoxifying-black-charcoal-cleanser,BOSCIA,Detoxifying Black Charcoal Cleanser,54.0,4.3,2581,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/sephora-collection-exfoliating-face-wipe/v/charcoal-3378872138860,SEPHORA COLLECTION,Exfoliating Face Wipe,13.0,4.2,49,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/first-aid-beauty-face-cleanser/v/226g,FIRST AID BEAUTY,Face Cleanser,51.0,4.4,5782,0
https://www.sephora.sg/products/caudalie-vinoclean-instant-foaming-cleanser-duo,CAUDALIE,Vinoclean Instant Foaming Cleanser Duo,57.0,4.8,16,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/the-inkey-list-back-to-basics-your-breakout-recipe-skincare-set,THE INKEY LIST,Back To Basics: Your Breakout Recipe Skincare Set,45.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-tiny-trio-mini-cleansesr-serum-and-moisturizer-trio-christmas-limited-edition,ORIGINS,"Tiny Trio Mini Cleansesr, Serum & Moisturizer Trio (Christmas Limited Edition)",35.0,5.0,1,0
https://www.sephora.sg/products/clinique-skin-school-supplies-cleanser-refresher-course-set,CLINIQUE,Skin School Supplies: Cleanser Refresher Course Set,25.0,NA,NA,0
https://www.sephora.sg/products/philosophy-the-microdelivery-exfoliating-wash/v/120ml,PHILOSOPHY,The Microdelivery Exfoliating Facial Wash,26.0,4.6,3241,0
https://www.sephora.sg/products/shu-uemura-blanc-chroma-lightening-and-polishing-cleansing-oil/v/450ml,SHU UEMURA,Blanc:Chroma Lightening & Polishing Cleansing Oil,143.0,4.7,9,0
https://www.sephora.sg/products/lab-series-oil-control-clay-cleanser-plus-mask,LAB SERIES,Oil Control Clay Cleanser + Mask,45.0,5.0,1,0
https://www.sephora.sg/products/tatcha-the-deep-cleanse/v/150ml,TATCHA,The Deep Cleanse,64.0,4.4,179,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/clinique-take-the-day-off-cleansing-towelettes-50pcs,CLINIQUE,Take the Day Off Micellar Cleansing Towelettes for Face & Eyes,15.0,2.5,4,0
https://www.sephora.sg/products/sephora-collection-smoothing-cleanser,SEPHORA COLLECTION,Smoothing Cleanser,21.0,4.5,138,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/caudalie-vinoclean-gentle-cleansing-almond-milk,CAUDALIE,Vinoclean Gentle Cleansing Almond Milk,37.0,4.3,194,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/eve-lom-cleansing-oil-capsules/v/50-pcs,EVE LOM,Cleansing Oil Capsules,120.0,3.8,5,0
https://www.sephora.sg/products/make-up-for-ever-so-divine,MAKE UP FOR EVER,So Divine,56.0,4.9,8,0
https://www.sephora.sg/products/dr-jart-ctrl-a-teatreement-cleansing-foam,DR.JART+,Ctrl-A Teatreement™ Cleansing Foam,28.0,4.3,10,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/la-mer-discover-skincare-set,LA MER,Discover Skincare Set,185.0,5.0,3,0
https://www.sephora.sg/products/clinique-3-step-skincare-set-for-dry-combination-skin,CLINIQUE,3 Step Skincare Set For Dry Combination Skin,57.0,5.0,1,0
https://www.sephora.sg/products/clear-start-breakout-clearing-foaming-wash/v/295ml,DERMALOGICA CLEAR START,Breakout Clearing Foaming Wash,49.0,4.4,212,0
https://www.sephora.sg/products/clinique-anti-blemish-set,CLINIQUE,Anti Blemish Set,150.0,NA,NA,0
https://www.sephora.sg/products/sk-ii-men-moisturizing-cleanser,SK-II,MEN Moisturizing Cleanser,99.0,4.8,49,0
https://www.sephora.sg/products/alpha-h-balancing-cleanser-with-aloe-vera/v/185ml,ALPHA-H,Balancing Cleanser With Aloe Vera,61.0,4.4,107,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/nudestix-nudeskin-3-step-citrus-renew-skincare-set,NUDESTIX,Nudeskin 3-Step Citrus Renew Skincare Set,39.0,3.8,73,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-kombucha-anti-pollution-experts-skincare-set,FRESH,Kombucha Anti-Pollution Experts Skincare Set,55.0,4.5,2,0
https://www.sephora.sg/products/estee-lauder-nutritious-super-pomegranate-radiant-energy-2-in-1-cleansing-foam,ESTÉE LAUDER,Nutritious Super-Pomegranate Radiant Energy 2-in-1 Cleansing Foam,52.0,4.3,88,0
https://www.sephora.sg/products/dermalogica-special-cleansing-gel,DERMALOGICA,Special Cleansing Gel,73.0,4.6,659,0
https://www.sephora.sg/products/the-inkey-list-hyaluronic-acid-cleanser,THE INKEY LIST,Hyaluronic Acid Cleanser,18.0,4.2,248,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/this-works-evening-detox-cleansing-water,THIS WORKS,Evening Detox Cleansing Water,42.0,4.2,6,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/dr-dot-jart-plus-dermaclear-micro-water-plus-refill,DR.JART+,Dermaclear Micro Water + Refill,42.0,4.1,14,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/dr-dot-jart-plus-dermaclear-micro-foam,DR.JART+,Dermaclear Micro Foam Cleanser,27.0,4.3,132,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/shiseido-ultimune-essential-defense-trio,SHISEIDO,Ultimune Essential Defense Trio,55.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/lab-series-all-in-one-multi-action-face-wash,LAB SERIES,All-In-One Multi-Action Face Wash,45.0,4.0,2,0
https://www.sephora.sg/products/sulwhasoo-first-care-trial-skincare-set,SULWHASOO,First Care Trial Skincare Set,92.0,4.7,3,0
https://www.sephora.sg/products/sk-ii-facial-treatment-cleansing-gel,SK-II,Facial Treatment Cleansing Gel,73.0,4.8,4,0
https://www.sephora.sg/products/estee-lauder-advanced-night-micro-cleansing-foam,ESTÉE LAUDER,Advanced Night Micro Cleansing Foam,17.0,3.8,23,0
https://www.sephora.sg/products/origins-love-and-glow-ginzing-radiance-boosting-regimen-skincare-set,ORIGINS,Love And Glow: Ginzing™ Radiance-Boosting Regimen Skincare Set,90.0,4.6,9,0
https://www.sephora.sg/products/clinique-all-about-clean-rinse-off-foaming-cleanser/v/default,CLINIQUE,All About Clean™ Rinse-Off Foaming Cleanser,46.0,4.4,49,0
https://www.sephora.sg/products/sephora-collection-prebiotic-clean-skin-gel-cleanser,SEPHORA COLLECTION,Prebiotic Clean Skin Gel Cleanser,19.0,4.4,12,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/biossance-squalane-plus-amino-aloe-gentle-cleanser,BIOSSANCE,Squalane + Amino Aloe Gentle Cleanser,42.0,4.4,493,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/foreo-skin-supremes-luna-mini-3-and-ufo-mini-2-set-christmas-limited-edition,FOREO,Skin Supremes Luna™ Mini 3 & Ufo™ Mini 2 Set (Christmas Limited Edition),399.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/dior-micellar-water-cleanser,DIOR,Micellar Water Cleanser,69.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/estee-lauder-perfectly-clean-multi-action-creme-cleanser-slash-moisture-mask,ESTÉE LAUDER,Perfectly Clean Multi-Action Creme Cleanser/Moisture Mask,55.0,3.8,4,0
https://www.sephora.sg/products/ole-henriksen-find-your-balance-oil-control-cleanser,OLE HENRIKSEN,Find Your Balance Oil Control Cleanser,50.0,4.4,1539,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/mario-badescu-botanical-facial-gel-236ml,MARIO BADESCU,Botanical Facial Gel,32.0,3.7,25,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/sunday-riley-wake-up-with-me-complete-morning-routine-kit,SUNDAY RILEY,Wake Up With Me Complete Morning Routine Kit,151.0,4.3,62,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/pixi-pinksalt-cleansing-oil,PIXI,PinkSalt Cleansing Oil,42.0,3.8,12,0
https://www.sephora.sg/products/first-aid-beauty-fab-faves-trio-set,FIRST AID BEAUTY,Fab Faves Trio Set,55.0,5.0,1,0
https://www.sephora.sg/products/clinique-great-skin-for-him-four-best-selling-clinique-for-men-formulas-in-one-good-looking-set-christmas-limited-edition,CLINIQUE,Great Skin For Him: Four Best-Selling Clinique For Men Formulas In One Good-Looking Set (Christmas Limited Edition),78.0,NA,NA,0
https://www.sephora.sg/products/cle-de-peau-cleanser-trio-set-limited-edition,CLE DE PEAU,Cleanser Trio Set (Limited Edition),120.0,NA,NA,0
https://www.sephora.sg/products/dior-eye-and-lip-makeup-remover,DIOR,Eye and Lip Makeup Remover,58.0,NA,NA,0
https://www.sephora.sg/products/philosophy-purity-made-simple-one-step-mattifying-facial-cleanser,PHILOSOPHY,Purity Made Simple One-Step Mattifying Facial Cleanser,38.0,4.3,12,0
https://www.sephora.sg/products/gallinee-perfume-free-cleansing-bar,GALLINÉE,Perfume Free Cleansing Bar,22.0,4.0,1,0
https://www.sephora.sg/products/lancome-gel-eclat,LANCÔME,Gel Eclat Clarifying Facial Cleanser,50.0,4.4,27,0
https://www.sephora.sg/products/shiseido-clarifying-cleansing-foam,SHISEIDO,Clarifying Cleansing Foam,58.0,4.4,10,0
https://www.sephora.sg/products/shiseido-deep-cleansing-foam,SHISEIDO,Deep Cleansing Foam,58.0,4.0,3,0
https://www.sephora.sg/products/sulwhasoo-indispensable-4-piece-skincare-set-10th-anniversary-limited-edition,SULWHASOO,Indispensable 4-Piece Skincare Set 10th Anniversary (Limited Edition),118.0,NA,NA,0
https://www.sephora.sg/products/laneige-cream-skin-milk-oil-cleanser,LANEIGE,Cream Skin Milk Oil Cleanser,43.0,4.6,7,0
https://www.sephora.sg/products/three-balancing-cleansing-oil-r,THREE,Balancing Cleansing Oil R,70.0,4.8,4,0
https://www.sephora.sg/products/drgl-cleanser-sensitive/v/240ml,DRGL,Cleanser Sensitive,138.0,4.4,5,0
